date,Total,sympinfect,Scenario,hosp,Total.Fraser,Total.Coastal,Total.Island,Total.Interior,Total.Northern
2023-01-20,3754.224736322076,2115.259429898786,worst case,26.530851141981135,838.1003981057132,427.7992022932779,612.0429435168413,1305.329136818019,570.9530555882249
2023-01-21,3706.5519047409957,2088.39891577553,worst case,26.193950480186054,849.3115282520857,426.7345325946212,598.3369369286331,1303.2477850282874,528.9211219373685
2023-01-22,3663.9283112046032,2064.3833161520633,worst case,25.892732440597353,827.0735346801438,402.0985525604648,616.5035943078959,1273.294994617659,544.95763503844
2023-01-23,3626.1646514567515,2043.1059704949703,worst case,25.62585922289856,803.9558927044394,390.62620196992617,624.2335286563062,1257.4813651728616,549.867662953218
2023-01-24,3593.091664455949,2024.4715113078244,worst case,25.392134670809387,782.3399930011221,385.55697472178827,628.1772775903302,1264.4569430459837,532.5604760967242
2023-01-25,3564.557472111642,2008.394365247045,worst case,25.190485472182797,764.3511566824076,367.7068813774849,642.2956456311525,1269.6887661472267,520.5150222733699
2023-01-26,3540.4280682853346,1994.7990286419606,worst case,25.019964614742687,784.4608923193435,352.6476209250409,636.2137465672718,1254.8248881328177,512.2809203408608
2023-01-27,3520.587760411843,1983.6203163194234,worst case,24.87975450699129,775.3303144832894,339.45268936286595,638.7731870053435,1256.0852340724098,510.9463354879345
2023-01-28,3504.933943734456,1974.8004172280364,worst case,24.7691300480841,731.6492187696415,337.18488347686616,658.3040193401721,1272.1341171749714,505.66170497280496
2023-01-29,3493.3765115971387,1968.2885621764856,worst case,24.687454460404947,712.7434104633517,351.3410740458212,675.4753889040812,1266.428061400408,487.38857678347694
2023-01-30,3485.844364478412,1964.044691247256,worst case,24.634225288466187,716.2606693142006,346.2847381868307,695.6329003613135,1242.4722348648377,485.1938217512296
2023-01-31,3482.2765772573175,1962.03447713027,worst case,24.609011978577378,731.5423088430338,340.2507046757603,711.8940527386181,1209.6844155570661,488.90509544283873
2023-02-01,3482.6261792225114,1962.2314549101118,worst case,24.61148259191274,748.756873721369,373.86144942928564,711.2951690769283,1177.1406130312578,471.57207396367073
