date,CAN,AB,BC,MB,NB,NL,North,NS,ON,PEI,QC,SK
17 May 2022,70075.61002191665,12327.16747013599,7630.96248801998,3206.4919822121706,2018.0736915398413,382.59551232718195,259.5960586986139,4209.316605314798,30891.95974960654,1513.7257567263443,7061.711904068157,574.0088032670318
16 May 2022,70047.87726493926,12102.3915630807,7629.03594085871,3183.679909024743,2241.146030248123,381.662307111851,273.2272880197884,4195.16810763294,30723.738824882166,1549.2966844258324,7194.097808701523,574.4328009528782
15 May 2022,70056.14871839821,11891.616877818764,7629.221093313665,3162.689627904089,2467.069763147072,380.86865753982494,287.581189603619,4182.716958762952,30570.752933324544,1584.273704486734,7324.364321173621,574.9935913233226
14 May 2022,71849.27843582559,11986.007814749124,7822.116793265359,3221.9538473235184,2762.5886734431356,389.70777781245886,310.1214252592012,4276.115518680338,31192.52327584193,1659.1497939806459,7638.9225704405835,590.070945029297
13 May 2022,73588.73542281405,12068.684781021742,8007.561273237092,3278.0125359722756,3067.664056351721,398.16878831312954,333.58056918391037,4365.3383222524335,31783.46972861998,1733.1393576307628,7948.524343615933,604.5916666150679
12 May 2022,75279.10755002021,12141.096683303193,8186.133955088891,3331.165545445883,3381.32361448219,406.28297024241124,357.88545793545654,4450.739606679798,32346.354957670483,1806.2411018473865,8253.28587332381,618.5977840007188
11 May 2022,76772.79638108573,12180.443329209964,8341.879771264692,3375.0126262829203,3695.3697380900817,413.2620786436844,382.2111221365786,4523.70094259175,32818.815010714,1874.7545682647751,8536.46607258218,630.8811213051133
10 May 2022,75416.38501937955,11845.905999056615,8036.327329150472,3215.959660511072,3501.2960229249434,470.8583088561117,382.30103776999545,4335.4752307009085,32459.11110850612,1708.0786159136621,8814.19901854601,646.8726874436363
9 May 2022,74213.0872128062,11540.023109075984,7756.665356923733,3070.626160848314,3324.225107968188,529.1844707380202,382.7065875728464,4163.291479343717,32138.874152418324,1558.2614540225732,9086.640388924556,662.5889449699499
8 May 2022,73143.22893455677,11259.298876962694,7499.74162676394,2937.3346194397327,3162.0707351677133,587.9982141534787,383.3806270643763,4005.193690487653,31853.062443150604,1423.173915817797,9353.939985229861,678.0342003189137
7 May 2022,77257.60222404536,11772.977657972804,7772.711014993385,3012.243804916475,3224.5738326026185,692.5236179263532,411.25829544579955,4130.448973948752,33815.39561902657,1392.346388203616,10291.250084337593,741.8729346713905
6 May 2022,81003.95840862361,12219.806635330377,7998.042554976406,3067.3687443624867,3265.288434981057,802.0088171423905,437.5872279670758,4229.483372863491,35617.59785730214,1351.5210013219205,11211.198045784928,804.0557165913458
5 May 2022,84436.02850203759,12609.88961978631,8183.576429727352,3106.2992064119994,3288.375850516921,915.8245910427604,462.5495275395697,4306.815741405099,37280.19536164272,1303.5611463726154,12114.261850499728,864.6791770925383
4 May 2022,87901.23702407526,12996.387158919564,8364.572969146979,3142.7799990847357,3308.5974494063603,1036.9784408031987,487.9810978775755,4381.234113821467,38954.76013918178,1255.0145381869343,13045.903976593105,927.0271410535712
3 May 2022,91558.8095451554,13466.867371670363,8503.438970353676,3341.0332777390386,3300.5444033577996,1136.1194101051117,482.9321194295725,4548.7920186755155,40602.991650177886,1223.0759608886165,13967.0532301077,985.9611326501009
2 May 2022,94996.915186175,13898.929543386937,8611.529311300037,3535.0130902624155,3279.2089823461783,1236.7864781796372,476.0104753160602,4703.823995156242,42147.84410217258,1186.2158244861387,14877.88588661038,1043.6674969583933
1 May 2022,98237.97649256668,14296.413559174021,8692.803780181945,3724.9448981004416,3246.770177464326,1338.8047661695189,467.5802996609041,4847.546415894605,43598.76645282181,1145.56269906988,15778.574295188133,1100.2091488411218
30 Apr 2022,97670.32820538891,14137.095871816107,8437.012113540939,3770.836910004121,3090.1972224061224,1390.3224508420924,441.53364862154785,4802.480306495585,43352.32351018198,1062.5588453780188,16071.749714573903,1114.2176115284947
29 Apr 2022,97148.46510346647,13984.943770747532,8193.051660096395,3816.2604759967608,2942.0493989323177,1441.5533877424402,417.082667398257,4759.511375182056,43119.26709368342,984.9686175616578,16361.695906250006,1128.0807498756412
28 Apr 2022,96669.12295971287,13839.495961237812,7960.15495810468,3861.220993054846,2801.7620419653417,1492.484342711207,394.1178650426965,4718.503544497429,42898.70017723875,912.4167481750362,16648.465931262057,1141.8003964230004
27 Apr 2022,96225.64488171603,13699.806866790303,7737.323532363676,3905.5748901431143,2668.7163165825073,1543.0449842283163,372.5248316134878,4679.153559037055,42688.17232474469,844.5276841852454,16931.465590979344,1155.3343010482986
26 Apr 2022,96153.29088738533,13147.63909163937,7479.124401107612,3816.2738646118178,2747.758982950655,1536.0634837931807,371.58994819303456,4674.394511815236,43149.51263857448,869.0659379949595,17211.377522793904,1150.490503911076
25 Apr 2022,96466.60592810164,12960.00617306273,7238.083165411891,3732.8874032593553,2825.6733811350673,1529.9203398901138,370.9519339132488,4671.479753728248,43609.840973641694,893.253287627572,17488.251986487514,1146.257529944208
24 Apr 2022,96811.20011355905,12785.265889507675,7012.585951513646,3654.864928858967,2902.495733279829,1524.534135923709,370.57913613462836,4670.221443616251,44068.837749674836,917.1011218282189,17762.138156938938,1142.5758662823532
23 Apr 2022,99910.69605900728,12976.460499953031,6992.069837448337,3682.232615938376,3061.8370080029667,1562.4830602917914,380.83930270774624,4801.517651163279,45775.73789045246,967.0161228757335,18539.135067117233,1171.3670030563474
22 Apr 2022,102947.9911260172,13155.863759774467,6965.902702771342,3706.268899038006,3220.9356393431585,1599.130746041161,390.90281499998923,4929.0258272009005,47456.10076963066,1016.8374954505845,19307.835429940304,1199.187041826616
21 Apr 2022,105927.14147287914,13324.663653688292,6935.006296918466,3727.3772242447067,3379.6951759309823,1634.5787850459774,400.7875250564367,5053.013968179023,49110.99987200493,1066.5364161041084,20068.371421921758,1226.1111337844677
20 Apr 2022,108260.9545832686,13410.717653743204,6862.714722138919,3725.5762279318037,3518.827880000135,1659.8595815040487,408.2807058299553,5145.641654625977,50466.02677334428,1110.0299428664155,20707.869564804245,1245.4098764796286
19 Apr 2022,108357.55141765265,13588.887253074174,6474.694575359174,3532.1368290290898,3592.8895803532737,1718.7905442588221,417.29923696300676,5161.352726643754,50217.1555598991,1068.1494868649925,21333.85091362757,1252.3447115797035
